,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss,Porcentaje
0,SDA,e->d,electronics,dvd,15.7628940724,26.68,10.9171059276,25
1,SDA,e->d,electronics,dvd,15.7628940724,27.8727872787,12.1098932064,50
2,SDA,e->d,electronics,dvd,15.7628940724,28.865721643,13.1028275707,100
3,SDA,e->k,electronics,kitchen,8.58771469287,10.7711138311,2.18339913822,25
4,SDA,e->k,electronics,kitchen,8.58771469287,12.5201288245,3.93241413161,50
5,SDA,e->k,electronics,kitchen,8.58771469287,11.5952898822,3.00757518938,100
6,SDA,e->b,electronics,books,15.157878947,23.9902080783,8.83232913136,25
7,SDA,e->b,electronics,books,15.157878947,26.0839020474,10.9260231004,50
8,SDA,e->b,electronics,books,15.157878947,27.7231930798,12.5653141329,100
9,SDA,d->e,dvd,electronics,11.1277781945,22.860686234,11.7329080395,25
10,SDA,d->e,dvd,electronics,11.1277781945,24.21875,13.0909718055,50
11,SDA,d->e,dvd,electronics,11.1277781945,25.2781319533,14.1503537588,100
12,SDA,d->k,dvd,kitchen,8.58771469287,14.0096618357,5.42194714288,25
13,SDA,d->k,dvd,kitchen,8.58771469287,16.8516851685,8.26397047565,50
14,SDA,d->k,dvd,kitchen,8.58771469287,19.3854846371,10.7977699442,100
15,SDA,d->b,dvd,books,15.157878947,17.0673076923,1.90942874533,25
16,SDA,d->b,dvd,books,15.157878947,22.1296668005,6.97178785351,50
17,SDA,d->b,dvd,books,15.157878947,22.9930748269,7.8351958799,100
18,SDA,k->e,kitchen,electronics,11.1277781945,11.0977564103,-0.0300217841985,25
19,SDA,k->e,kitchen,electronics,11.1277781945,12.1203007519,0.992522557425,50
20,SDA,k->e,kitchen,electronics,11.1277781945,13.0953273832,1.96754918873,100
21,SDA,k->d,kitchen,dvd,15.7628940724,20.6038351693,4.84094109697,25
22,SDA,k->d,kitchen,dvd,15.7628940724,24.1386217949,8.37572772252,50
23,SDA,k->d,kitchen,dvd,15.7628940724,25.575639391,9.81274531863,100
24,SDA,k->b,kitchen,books,15.157878947,24.48,9.32212105303,25
25,SDA,k->b,kitchen,books,15.157878947,31.0285829308,15.8707039838,50
26,SDA,k->b,kitchen,books,15.157878947,28.0157003925,12.8578214455,100
27,SDA,b->e,books,electronics,11.1277781945,19.4700923324,8.34231413794,25
28,SDA,b->e,books,electronics,11.1277781945,23.0429546367,11.9151764422,50
29,SDA,b->e,books,electronics,11.1277781945,25.0281257031,13.9003475087,100
30,SDA,b->d,books,dvd,15.7628940724,16.96,1.19710592765,25
31,SDA,b->d,books,dvd,15.7628940724,15.5087719298,-0.254122142527,50
32,SDA,b->d,books,dvd,15.7628940724,20.2930073252,4.53011325283,100
33,SDA,b->k,books,kitchen,8.58771469287,19.68,11.0922853071,25
34,SDA,b->k,books,kitchen,8.58771469287,21.5386154462,12.9509007533,50
35,SDA,b->k,books,kitchen,8.58771469287,20.4080102003,11.8202955074,100
